"代码","名称","最新价","涨跌额","涨跌幅","5分钟涨跌幅","60日涨跌幅","年初至今","买入价","卖出价","买量","卖量","成交量","成交额","股息率TTM","今开","昨收","最高","最低","换手率","涨跌速率","振幅","市盈率TTM","市盈率(静)","市净率","量比","委比","盘前价","盘后价","盘前涨跌幅","盘后涨跌幅","盘前额","盘后额","盘前振幅","盘后振幅","盘前涨跌额","盘后涨跌额","总市值","流通值","总股本","流通股","5日涨跌幅","10日涨跌幅","20日涨跌幅","120日涨跌幅","250日涨跌幅","所属行业","道琼斯指数相关性","纳斯达克100相关性","标普500相关性","罗素2000相关性","费城半导体指数相关性","VIX指数相关性","恒生指数相关性","恒生科技指数相关性","富时中国50指数相关性","沪深300相关性","富时中国A50指数相关性","日经225相关性","TOPIX指数相关性","富时海峡指数相关性","大马综合指数相关性","TSX相关性","ASX200相关性","期权总成交","期权总持仓","正股IV","正股HV","正股IV-正股HV","IV等级","IV百分位数","行权价","到期日","未平仓数","溢价","隐含波动率","Delta","Gamma","Theta","Vega","Rho","距到期日","内在价值","时间价值","杠杆倍数","有效杠杆","盈亏平衡点","到盈亏平衡","盈利概率"
"BABA","阿里巴巴","119.750","-0.520","-0.43%","+0.18%","+2.08%","+43.62%","119.750","119.770","177","370","3151212","377435874.48","0.840%","120.450","120.270","120.660","119.000","0.14%","0.03%","1.38%","16.035","16.035","2.029","0.86","-35.28%","120.450","120.500","+0.15%","+0.19%","19056041.05","94374195.10","0.65","0.40","+0.180","+0.230","285645999222.77","269968928733.56","2385348828","2254434053","+2.38%","+10.89%","+5.89%","+26.81%","+58.89%","互联网零售","0.27","0.31","0.31","0.29","0.31","-0.27","-","-","-","-","-","-","-","-","-","-","-","39729","2326859","44.44%","40.38%","4.07%","24","57%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"TME","腾讯音乐","21.165","-0.125","-0.59%","-0.24%","+59.14%","+88.82%","21.170","21.180","200","400","1548480","32666207.56","1.480%","21.020","21.290","21.275","20.880","0.29%","0.07%","1.86%","24.900","35.812","3.212","1.25","-33.33%","21.060","21.320","-1.08%","+0.14%","253781.93","1002323.19","1.17","0.28","-0.230","+0.030","32782563827.16","11442408573.17","1548904504","540628801","-0.59%","+4.31%","+15.28%","+81.93%","+43.93%","互联网内容与信息","0.20","0.23","0.23","0.21","0.24","-0.20","-","-","-","-","-","-","-","-","-","-","-","185","86848","43.48%","33.16%","10.32%","24","8%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BIDU","百度","91.242","+2.432","+2.74%","+0.25%","+1.95%","+8.22%","91.260","91.280","48","363","1508709","136093069.68","0.000%","90.100","88.810","91.300","89.400","0.55%","-0.01%","2.14%","9.015","9.933","0.834","1.11","-76.64%","90.160","89.590","+1.52%","+0.88%","3256698.50","9463157.86","0.95","1.28","+1.350","+0.780","31366172207.38","25185714239.91","343770896","276033540","-2.21%","+1.07%","+8.32%","-0.39%","-1.11%","互联网内容与信息","0.29","0.34","0.34","0.31","0.34","-0.30","-","-","-","-","-","-","-","-","-","-","-","23284","461861","42.01%","46.05%","-4.05%","33","36%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"CNYHKD","人民币/港元","1.09410","+0.00020","+0.02%","0.00%","+2.50%","+2.81%","1.09370","1.09450","0","0","0","0.00","0.000%","1.09380","1.09390","1.09490","1.09370","0.00%","0.00%","0.11%","-","-","-","0.00","0.00%","-","-","-","-","0.00","0.00","-","-","-","-","0.00","0.00","0","0","-0.03%","-0.01%","-0.05%","+1.87%","+0.46%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"HKDUSD","港元/美元","0.127390","0.000000","0.00%","0.00%","-1.16%","-1.03%","0.127350","0.127430","0","0","0","0.00","0.000%","0.127390","0.127390","0.127400","0.127390","0.00%","0.00%","0.01%","-","-","-","0.00","0.00%","-","-","-","-","0.00","0.00","-","-","-","-","0.00","0.00","0","0","0.00%","0.00%","0.00%","-0.80%","-0.71%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"HKDCNY","港元/人民币","0.91400","-0.00010","-0.01%","0.00%","-2.44%","-2.72%","0.91360","0.91440","0","0","0","0.00","0.000%","0.91410","0.91410","0.91430","0.91330","0.00%","0.00%","0.11%","-","-","-","0.00","0.00%","-","-","-","-","0.00","0.00","-","-","-","-","0.00","0.00","0","0","+0.03%","+0.01%","+0.05%","-1.84%","-0.46%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"HKDCNH","港元/离岸人民币","0.91380","+0.00031","+0.03%","+0.01%","-2.46%","-3.23%","0.91340","0.91420","0","0","0","0.00","0.000%","0.91363","0.91349","0.91462","0.91339","0.00%","0.00%","0.14%","-","-","-","0.00","0.00%","-","-","-","-","0.00","0.00","-","-","-","-","0.00","0.00","0","0","-0.15%","-0.11%","+0.12%","-2.34%","-0.52%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"USDCNY","美元/人民币","7.1750","-0.0010","-0.01%","0.00%","-1.29%","-1.70%","7.1739","7.1761","0","0","0","0.00","0.000%","7.1760","7.1760","7.1764","7.1696","0.00%","0.00%","0.10%","-","-","-","0.00","0.00%","-","-","-","-","0.00","0.00","-","-","-","-","0.00","0.00","0","0","+0.03%","+0.02%","+0.05%","-1.04%","+0.25%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"00522","ASMPT","61.200","-2.000","-3.16%","-0.24%","+23.44%","-17.94%","61.200","61.250","1400","4600","1797761","111334802.00","1.090%","63.200","63.200","63.200","61.050","0.43%","0.16%","3.40%","102.341","73.823","1.678","1.26","23.87%","0.000","0.000","0.00%","0.00%","0.00","0.00","0.00","0.00","0.000","0.000","25487268339.60","25487268339.60","416458633","416458633","-1.13%","+3.55%","+11.58%","-17.55%","-46.24%","半导体设备与材料","-","-","-","-","-","-","0.43","0.45","0.42","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"02252","微创机器人-B","18.580","-0.080","-0.43%","+0.76%","+7.90%","+95.37%","18.520","18.580","31000","16000","5991296","110687737.00","0.000%","18.700","18.660","18.920","18.180","0.59%","0.76%","3.97%","亏损","亏损","63.848","0.77","-47.45%","0.000","0.000","0.00%","0.00%","0.00","0.00","0.00","0.00","0.000","0.000","19162117549.98","19039498041.04","1031330331","1024730788","+2.65%","+18.04%","+17.59%","+78.65%","+116.30%","医疗设备及用品","-","-","-","-","-","-","0.50","0.53","0.49","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
