"代码","名称","最新价","涨跌额","涨跌幅","5分钟涨跌幅","60日涨跌幅","年初至今","买入价","卖出价","买量","卖量","成交量","成交额","股息率TTM","今开","昨收","最高","最低","换手率","涨跌速率","振幅","市盈率TTM","市盈率(静)","市净率","量比","委比","盘前价","盘后价","盘前涨跌幅","盘后涨跌幅","盘前额","盘后额","盘前振幅","盘后振幅","盘前涨跌额","盘后涨跌额","总市值","流通值","总股本","流通股","5日涨跌幅","10日涨跌幅","20日涨跌幅","120日涨跌幅","250日涨跌幅","所属行业","道琼斯指数相关性","纳斯达克100相关性","标普500相关性","罗素2000相关性","费城半导体指数相关性","VIX指数相关性","恒生指数相关性","恒生科技指数相关性","富时中国50指数相关性","沪深300相关性","富时中国A50指数相关性","日经225相关性","TOPIX指数相关性","富时海峡指数相关性","大马综合指数相关性","TSX相关性","ASX200相关性","期权总成交","期权总持仓","正股IV","正股HV","正股IV-正股HV","IV等级","IV百分位数","行权价","到期日","未平仓数","溢价","隐含波动率","Delta","Gamma","Theta","Vega","Rho","距到期日","内在价值","时间价值","杠杆倍数","有效杠杆","盈亏平衡点","到盈亏平衡","盈利概率"
"RELY","Remitly Global","17.385","+0.115","+0.67%","+0.06%","-12.99%","-22.97%","17.380","17.390","110","246","566568","9785137.70","0.000%","17.260","17.270","17.400","17.090","0.34%","0.00%","1.80%","亏损","亏损","4.898","0.78","-38.20%","17.260","17.350","-0.06%","+0.46%","15025.96","1815972.56","1.16","0.58","-0.010","+0.080","3544081621.92","2904637156.77","203858592","167077202","-0.43%","-5.26%","-12.55%","-26.02%","+28.97%","软件基础设施","0.26","0.25","0.26","0.28","0.17","-0.23","-","-","-","-","-","-","-","-","-","-","-","27","52972","72.11%","29.83%","42.28%","57","76%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"SPCE","维珍银河","4.139","-0.171","-3.97%","+2.95%","+43.71%","-29.61%","4.130","4.140","1601","2300","3946143","16552203.21","0.000%","4.300","4.310","4.530","3.980","9.90%","-0.13%","12.76%","亏损","亏损","0.632","2.86","-17.92%","4.400","4.240","+2.09%","-1.62%","527812.13","577220.17","4.64","2.55","+0.090","-0.070","172069968.49","165037389.88","41574845","39875662","+30.97%","+49.42%","+40.30%","-9.63%","-41.21%","航空航天与国防","0.32","0.30","0.33","0.47","0.30","-0.26","-","-","-","-","-","-","-","-","-","-","-","12732","295659","145.02%","74.36%","70.67%","22","82%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"CLF","克利夫兰克里夫","11.280","+0.620","+5.82%","-1.73%","+42.60%","+20.00%","11.260","11.270","1101","400","19525739","226687750.71","0.000%","11.240","10.660","11.960","11.180","4.02%","-0.27%","7.32%","亏损","亏损","0.923","3.69","46.70%","11.300","10.761","+6.00%","+0.94%","4813232.20","13561983.30","5.25","3.56","+0.640","+0.101","5579721969.84","5475134509.20","494656203","485384265","+24.37%","+27.03%","+63.01%","+11.35%","-25.84%","钢","0.46","0.43","0.47","0.51","0.41","-0.38","-","-","-","-","-","-","-","-","-","-","-","49360","843877","75.14%","71.22%","3.92%","39","65%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"UPXI","Upexi","7.450","-0.700","-8.59%","-1.19%","-44.90%","+112.25%","7.420","7.470","20005","100","8200194","64831379.21","0.000%","8.500","8.150","8.599","7.350","19.92%","-1.29%","15.33%","亏损","亏损","219.117","2.06","99.01%","8.570","8.410","+5.15%","+3.19%","5602049.37","8220884.30","9.69","13.50","+0.420","+0.260","400753841.90","306629297.75","53792462","41158295","+43.27%","+80.39%","-25.50%","+91.03%","-11.10%","互联网内容与信息","-0.07","-0.01","-0.04","-0.02","0.02","0.03","-","-","-","-","-","-","-","-","-","-","-","9299","112497","232.02%","390.54%","-158.52%","15","50%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"SLDP","Solid Power","3.802","+0.072","+1.92%","+1.92%","+233.46%","+101.14%","3.800","3.810","594","683","8226275","30918276.94","0.000%","3.515","3.730","4.000","3.452","5.54%","-0.42%","14.69%","亏损","亏损","1.717","2.31","-6.97%","3.450","3.808","-7.51%","+2.10%","1694815.36","1285498.62","9.65","3.22","-0.280","+0.078","681844939.52","564532291.76","179362078","148502510","+19.54%","+51.45%","+104.38%","+155.13%","+82.76%","汽车零件","0.28","0.27","0.30","0.43","0.27","-0.22","-","-","-","-","-","-","-","-","-","-","-","1195","69340","131.81%","112.12%","19.69%","19","68%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"SNOW","Snowflake","214.090","-1.560","-0.72%","+0.16%","+34.94%","+38.65%","213.920","214.260","142","102","685773","146388523.65","0.000%","214.720","215.650","216.540","211.400","0.22%","-0.01%","2.38%","亏损","亏损","29.668","1.35","16.39%","214.780","215.407","-0.40%","-0.11%","797844.61","44123716.98","0.77","0.30","-0.870","-0.243","71441833000.00","67375792473.82","333700000","314707798","+0.61%","-4.21%","+0.18%","+13.87%","+63.24%","应用软件","0.47","0.54","0.52","0.46","0.45","-0.42","-","-","-","-","-","-","-","-","-","-","-","10785","433797","48.08%","28.75%","19.33%","33","49%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AXON","Axon Enterprise","739.000","-12.550","-1.67%","+0.48%","+25.11%","+24.34%","736.900","739.490","3","1","107600","79474606.91","0.000%","749.010","751.550","749.010","729.740","0.15%","0.00%","2.56%","178.072","153.958","22.509","1.59","50.00%","749.010","751.550","-0.34%","0.00%","177922.90","17233593.26","0.53","0.00","-2.540","0.000","57531750068.00","54795669078.00","77850812","74148402","-0.92%","-6.48%","-5.65%","+15.92%","+133.30%","航空航天与国防","0.36","0.38","0.40","0.36","0.31","-0.34","-","-","-","-","-","-","-","-","-","-","-","212","35341","59.23%","46.84%","12.39%","53","83%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"DBRG","DigitalBridge Group","10.855","+0.085","+0.79%","+0.28%","+29.35%","-3.57%","10.850","10.860","230","404","201700","2184173.96","0.370%","10.700","10.770","10.940","10.695","0.12%","-0.14%","2.28%","31.926","155.071","1.640","0.74","-27.45%","10.860","10.770","+0.84%","0.00%","32.36","629524.88","2.04","0.28","+0.090","0.000","1913366387.92","1833429733.72","176265904","168901864","+2.60%","+4.27%","+6.53%","+3.99%","-22.51%","资产管理","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","35","85556","51.18%","25.05%","26.14%","20","34%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"HPE","慧与科技","20.555","-0.105","-0.51%","+0.39%","+27.97%","-2.24%","20.550","20.560","600","1737","2463110","50674451.42","2.530%","20.635","20.660","20.695","20.260","0.19%","-0.02%","2.11%","19.764","10.650","1.130","0.96","-48.65%","20.680","20.700","+0.10%","+0.19%","13087174.97","63641493.02","0.90","0.94","+0.020","+0.040","26972592069.10","26834140146.15","1312215620","1305479939","+1.36%","-1.27%","+15.41%","-2.74%","+2.74%","通讯设备","0.50","0.58","0.59","0.56","0.59","-0.47","-","-","-","-","-","-","-","-","-","-","-","1394","492765","33.22%","44.52%","-11.30%","8","23%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"TLN","Talen Energy","305.490","-4.650","-1.50%","+0.33%","+44.78%","+51.63%","305.550","306.080","29","50","480945","145697875.51","0.000%","310.300","310.140","312.340","300.000","1.31%","-0.34%","3.98%","30.888","17.288","11.782","1.43","-26.58%","310.300","313.250","+0.05%","+1.00%","420913.41","14124541.42","1.93","1.24","+0.160","+3.110","13902782692.20","11253765870.90","45509780","36838410","+13.93%","+10.10%","+4.77%","+49.44%","+143.07%","独立电力生产商","0.31","0.47","0.45","0.36","0.48","-0.41","-","-","-","-","-","-","-","-","-","-","-","7159","70954","53.05%","88.11%","-35.06%","20","34%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"PRME","Prime Medicine","4.545","-0.025","-0.55%","+1.22%","+159.71%","+55.65%","4.540","4.550","319","100","905142","4121472.76","0.000%","4.570","4.570","4.689","4.455","1.37%","-0.00%","5.12%","亏损","亏损","5.716","0.84","52.27%","4.580","4.680","+0.22%","+2.41%","83642.42","264013.70","3.28","4.16","+0.010","+0.110","611284379.09","301465445.89","134496013","66329031","+5.94%","+10.85%","+110.42%","+60.60%","-16.14%","生物技术","0.36","0.31","0.36","0.49","0.27","-0.29","-","-","-","-","-","-","-","-","-","-","-","341","46937","126.13%","130.58%","-4.45%","16","23%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"GDS","万国数据","35.390","-0.350","-0.98%","+0.21%","+53.40%","+48.95%","35.370","35.420","54","261","561268","19533591.43","0.000%","35.180","35.740","35.500","34.120","0.41%","-0.17%","3.86%","10.796","13.982","2.256","1.04","-65.71%","35.160","35.679","-1.62%","-0.17%","429561.61","483260.22","1.12","1.32","-0.580","-0.061","7303703688.68","4801519528.69","206377612","135674471","-6.18%","+9.33%","+28.50%","+61.16%","+209.08%","信息技术服务","0.25","0.27","0.28","0.31","0.25","-0.23","-","-","-","-","-","-","-","-","-","-","-","2586","71564","81.85%","58.99%","22.86%","33","61%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"DPRO","Draganfly","6.180","+0.180","+3.00%","+3.69%","+121.51%","+54.11%","6.170","6.180","400","20","6384675","40297391.99","0.000%","6.500","6.000","6.510","5.850","36.20%","-0.16%","11.00%","亏损","亏损","106.551","2.00","90.48%","6.520","6.000","+8.67%","0.00%","10137685.36","935196.26","21.67","5.33","+0.520","0.000","115590961.02","109007691.30","18704039","17638785","+71.19%","+78.10%","+128.89%","+72.63%","+31.56%","航空航天与国防","0.14","0.14","0.14","0.21","0.14","-0.14","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"STX","希捷科技","147.385","-2.245","-1.50%","+0.27%","+78.43%","+73.07%","147.310","147.460","6","106","452326","66445081.23","1.930%","149.000","149.630","149.280","144.760","0.21%","-0.03%","3.02%","21.206","93.281","亏损","0.78","-89.29%","149.170","150.242","-0.31%","+0.41%","263522.89","6390478.91","1.50","0.50","-0.460","+0.612","31277670784.26","31161550564.31","212217463","211429593","-1.12%","+2.02%","+11.34%","+48.98%","+42.69%","计算机硬件","0.47","0.57","0.57","0.50","0.59","-0.44","-","-","-","-","-","-","-","-","-","-","-","982","142825","43.66%","28.14%","15.53%","25","80%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"HNGE","Hinge Health","45.820","-1.440","-3.05%","+0.94%","+43.19%","+43.19%","45.660","45.850","2","6","229864","10428056.06","0.000%","46.600","47.260","46.730","44.510","1.46%","-0.07%","4.70%","26.318","亏损","亏损","2.36","-50.00%","46.500","47.240","-1.61%","-0.04%","112825.97","165709.26","1.69","0.04","-0.760","-0.020","3574706294.73","720105681.18","78015947","15715900","+0.09%","+6.29%","+4.88%","+43.19%","+43.19%","健康信息服务","0.22","0.38","0.32","0.20","0.19","-0.16","-","-","-","-","-","-","-","-","-","-","-","717","11975","83.83%","86.60%","-2.76%","40","38%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"CART","Maplebear","49.055","+0.025","+0.05%","+0.10%","+17.75%","+18.43%","49.070","49.100","2","397","296533","14561246.86","0.000%","49.280","49.030","49.780","48.718","0.17%","-0.11%","2.17%","32.273","31.047","4.027","0.54","-99.00%","48.500","49.030","-1.08%","0.00%","20235.18","1465457.68","3.06","1.68","-0.530","0.000","12790340168.90","8736240711.09","260734689","178090729","+0.79%","+0.71%","+11.84%","+4.93%","+37.91%","互联网零售","0.30","0.32","0.33","0.35","0.29","-0.23","-","-","-","-","-","-","-","-","-","-","-","475","73792","47.17%","27.49%","19.68%","42","56%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BWXT","BWX Technologies","138.475","-1.885","-1.34%","+0.35%","+28.59%","+24.92%","138.180","138.610","8","160","236195","32498119.79","0.700%","139.180","140.360","139.500","136.330","0.26%","-0.36%","2.26%","44.100","45.105","11.498","1.50","-90.48%","139.610","140.311","-0.53%","-0.04%","137889.87","4522810.04","0.82","1.43","-0.750","-0.049","12651176532.85","12585518473.13","91360726","90886575","+0.75%","+0.80%","-2.52%","+24.18%","+34.10%","航空航天与国防","0.46","0.46","0.50","0.45","0.44","-0.40","-","-","-","-","-","-","-","-","-","-","-","100","15186","38.14%","24.42%","13.72%","47","67%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"NXT","Nextracker","61.760","+0.230","+0.37%","+0.05%","+45.83%","+69.07%","61.770","61.940","100","7","347109","21362599.89","0.000%","61.550","61.530","63.000","60.600","0.24%","-0.32%","3.90%","17.798","17.798","5.548","1.12","86.92%","61.550","61.145","+0.03%","-0.63%","57034.16","3688797.19","1.14","1.80","+0.020","-0.385","9033262293.12","8831499352.00","146263962","142997075","-1.86%","-3.41%","+9.89%","+55.88%","+30.24%","太阳能","0.24","0.27","0.28","0.36","0.30","-0.23","-","-","-","-","-","-","-","-","-","-","-","958","120331","70.00%","57.43%","12.57%","54","70%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ARRY","Array Technologies","6.955","+0.135","+1.97%","+0.06%","+52.51%","+15.14%","6.950","6.960","456","115","685522","4735835.76","0.000%","6.820","6.820","6.995","6.750","0.50%","-0.22%","3.59%","亏损","亏损","亏损","0.78","59.72%","6.830","6.950","+0.15%","+1.91%","2578.74","486043.62","2.64","2.35","+0.010","+0.130","1060888375.77","956756880.83","152547038","137573784","-6.27%","-5.51%","-5.89%","+4.11%","-35.84%","太阳能","0.20","0.21","0.23","0.33","0.24","-0.17","-","-","-","-","-","-","-","-","-","-","-","358","65747","89.30%","96.67%","-7.37%","26","32%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"CRCL","Circle","199.180","-16.920","-7.83%","+0.92%","+542.52%","+542.52%","199.100","199.450","1730","99","8247768","1664588300.31","0.000%","207.500","216.100","211.990","196.450","9.10%","-0.18%","7.19%","250.856","272.849","59.492","1.63","89.17%","207.600","212.510","-3.93%","-1.66%","63384538.26","109318150.63","4.80","2.74","-8.500","-3.590","44325540105.70","18058760265.40","222540115","90665530","+1.97%","-2.75%","-24.40%","+542.52%","+542.52%","资本市场","-0.08","-0.16","-0.12","0.15","-0.28","0.04","-","-","-","-","-","-","-","-","-","-","-","96132","454879","99.11%","143.48%","-44.37%","6","3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BZAI","Blaize Holdings","4.830","+0.140","+2.99%","-0.41%","+82.95%","-67.80%","4.800","4.900","8010","200","1336689","6564770.73","0.000%","4.760","4.690","5.085","4.700","3.08%","-1.24%","8.21%","亏损","亏损","29.451","0.41","95.13%","4.730","4.740","+0.85%","+1.07%","232046.78","564284.23","3.62","5.33","+0.040","+0.050","491133314.28","209392642.62","101683916","43352514","+72.50%","+50.47%","+100.41%","-13.90%","-56.78%","应用软件","0.05","0.12","0.09","0.07","0.14","-0.10","-","-","-","-","-","-","-","-","-","-","-","844","13266","139.78%","207.16%","-67.38%","9","43%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"UAVS","AgEagle天线系统","2.150","+0.210","+10.83%","+2.39%","+88.61%","-38.04%","2.150","2.160","400","700","10596135","23390681.13","0.000%","2.280","1.940","2.310","2.030","79.25%","0.47%","14.43%","亏损","亏损","7.167","1.60","-27.27%","2.280","2.030","+17.53%","+4.64%","5335359.23","952463.63","27.84","7.21","+0.340","+0.090","29941705.62","28746576.84","13925727","13369879","+70.64%","+86.97%","+91.97%","-11.88%","-91.04%","计算机硬件","0.09","0.10","0.10","0.14","0.13","-0.08","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"QSG","量子之歌","9.550","+0.090","+0.95%","0.00%","+95.30%","+342.13%","9.570","9.600","71","200","173576","1656515.72","0.000%","9.480","9.460","9.780","9.270","0.91%","0.31%","5.39%","8.488","10.063","5.227","0.91","-47.60%","9.470","9.400","+0.11%","-0.63%","28287.80","152520.39","1.48","1.90","+0.010","-0.060","517832753.75","183217762.30","54223325","19185106","-1.65%","+5.88%","-7.06%","+302.95%","+504.62%","教育培训","0.12","0.11","0.14","0.14","0.08","-0.11","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"SYTA","Siyata Mobile","4.230","+0.070","+1.68%","-0.24%","+252.50%","-30.43%","4.130","4.210","690","200","434238","1817104.58","0.000%","4.190","4.160","4.289","4.090","4.88%","0.00%","4.77%","亏损","亏损","6.175","1.50","55.06%","4.282","4.199","+2.93%","+0.94%","48363.68","196504.82","5.77","3.37","+0.122","+0.039","37618172.55","37618071.03","8893185","8893161","+4.96%","+2.42%","+113.64%","-17.70%","-95.32%","通讯设备","0.05","-0.00","0.02","0.03","-0.00","0.01","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"SEDG","SolarEdge Technologies","29.820","+0.990","+3.43%","-0.47%","+154.55%","+119.26%","29.770","29.830","110","162","2125672","63914880.41","0.000%","29.190","28.830","30.680","29.080","3.69%","0.14%","5.55%","亏损","亏损","2.963","2.43","-19.12%","29.160","29.040","+1.14%","+0.73%","1950870.00","1793615.27","6.07","2.22","+0.330","+0.210","1760698998.24","1717045321.32","59044232","57580326","+8.95%","+14.03%","+85.68%","+122.70%","+13.38%","太阳能","0.31","0.29","0.32","0.41","0.32","-0.23","-","-","-","-","-","-","-","-","-","-","-","6361","338189","116.94%","99.99%","16.95%","46","69%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"HIVE","Hive Blockchain","2.325","+0.055","+2.42%","-0.28%","+35.17%","-18.42%","2.320","2.330","20810","8900","10145998","23578906.60","0.000%","2.310","2.270","2.390","2.270","5.05%","-1.49%","5.29%","亏损","亏损","1.041","2.00","40.09%","2.311","2.280","+1.78%","+0.44%","422675.22","868856.29","2.20","2.20","+0.041","+0.010","467916259.13","466758618.38","201254305","200756395","+7.64%","+4.73%","+39.22%","-16.67%","-48.33%","通讯设备","0.44","0.47","0.48","0.55","0.41","-0.43","-","-","-","-","-","-","-","-","-","-","-","6640","187699","135.48%","73.88%","61.59%","6","80%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"SLI","Standard Lithium","2.605","-0.005","-0.19%","+1.36%","+62.81%","+78.42%","2.600","2.610","2800","300","461619","1189344.83","0.000%","2.630","2.610","2.640","2.530","0.23%","-0.76%","4.22%","5.449","5.449","2.275","1.11","80.65%","2.650","2.610","+1.52%","0.00%","20651.05","21473.50","2.62","2.30","+0.040","0.000","534311792.26","518321348.83","205110093","198971727","-5.62%","+10.85%","+46.35%","+72.52%","+79.66%","其他工业金属与采矿","0.25","0.26","0.27","0.35","0.29","-0.24","-","-","-","-","-","-","-","-","-","-","-","52","15873","96.75%","78.04%","18.71%","15","23%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AIRO","AIRO Group","22.910","+0.020","+0.09%","+1.36%","+129.10%","+129.10%","22.900","23.010","10","16","191996","4352113.76","0.000%","23.230","22.890","23.260","22.250","3.20%","-0.75%","4.41%","亏损","亏损","1.085","0.72","-23.08%","23.220","23.010","+1.44%","+0.52%","194213.22","580121.70","1.75","4.89","+0.330","+0.120","599655962.20","137460000.00","26174420","6000000","-16.57%","+5.72%","-14.83%","+129.10%","+129.10%","航空航天与国防","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","221","7771","99.03%","149.13%","-50.11%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AVAV","AeroVironment","260.470","-11.710","-4.30%","+0.31%","+74.87%","+69.26%","260.100","260.700","3","126","559769","146015427.82","0.000%","265.000","272.180","266.400","256.451","1.52%","-0.20%","3.66%","168.045","168.045","14.497","1.41","-95.35%","265.200","271.551","-2.56%","-0.23%","2072857.55","7745055.26","2.39","0.37","-6.980","-0.629","12852241235.47","9600402478.59","49342501","36857997","-1.30%","+9.87%","+36.21%","+48.81%","+54.66%","航空航天与国防","0.26","0.29","0.30","0.30","0.28","-0.24","-","-","-","-","-","-","-","-","-","-","-","3311","34029","50.48%","104.79%","-54.31%","33","49%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MNMD","Mind Medicine","10.015","+0.065","+0.65%","+0.25%","+55.75%","+43.89%","10.010","10.030","49","13","342213","3415875.65","0.000%","9.880","9.950","10.200","9.850","0.48%","-0.25%","3.52%","亏损","亏损","3.396","1.31","58.07%","9.898","9.900","-0.52%","-0.50%","62089.12","346500.26","4.02","4.00","-0.052","-0.050","756665958.99","708173689.53","75553266","70711302","+24.10%","+34.07%","+50.71%","+34.79%","+16.32%","生物技术","0.33","0.33","0.35","0.45","0.32","-0.28","-","-","-","-","-","-","-","-","-","-","-","682","45038","98.73%","66.63%","32.10%","33","74%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"PSTG","Pure Storage","55.980","-1.030","-1.81%","+0.36%","+24.04%","-8.87%","56.030","56.150","100","156","286581","16032107.57","0.000%","56.750","57.010","56.750","55.190","0.09%","-0.20%","2.74%","147.315","180.580","14.708","0.81","-21.88%","56.550","56.900","-0.81%","-0.19%","49404.64","1691764.07","0.88","0.23","-0.460","-0.110","18296037334.44","17298843090.48","326831678","309018276","+2.68%","-1.93%","+5.13%","-16.21%","-8.36%","计算机硬件","0.43","0.64","0.58","0.48","0.66","-0.46","-","-","-","-","-","-","-","-","-","-","-","123","69217","48.82%","36.83%","11.99%","20","48%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"CRUS","凌云半导体","104.600","-0.030","-0.03%","+0.06%","+13.20%","+5.04%","104.590","104.710","26","206","49800","5199674.03","0.000%","104.320","104.630","105.010","103.900","0.10%","0.08%","1.06%","17.433","17.433","2.752","0.81","-77.59%","104.250","104.630","-0.36%","0.00%","8460.69","2763590.95","0.43","0.00","-0.380","0.000","5365808351.40","5324386856.00","51298359","50902360","+2.41%","-2.84%","-1.00%","+3.65%","-24.42%","半导体","0.53","0.62","0.62","0.55","0.67","-0.49","-","-","-","-","-","-","-","-","-","-","-","4","4260","46.48%","28.10%","18.37%","30","66%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"LAC","Lithium Americas","3.245","+0.125","+4.01%","+0.93%","+9.63%","+9.26%","3.240","3.250","14452","9100","3476057","11221365.21","0.000%","3.150","3.120","3.270","3.145","1.86%","0.16%","4.01%","亏损","亏损","1.135","1.23","22.72%","3.160","3.130","+1.28%","+0.32%","191507.59","418271.38","0.96","2.86","+0.040","+0.010","710346322.62","607184371.86","218904876","187113828","+13.07%","+18.43%","+26.76%","+6.39%","+13.86%","其他工业金属与采矿","0.33","0.33","0.35","0.45","0.35","-0.29","-","-","-","-","-","-","-","-","-","-","-","2525","207933","84.02%","59.34%","24.68%","12","42%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"UUUU","Energy Fuels","8.790","-0.420","-4.56%","+0.46%","+82.74%","+71.35%","8.780","8.790","1100","1223","5137476","45652158.10","0.000%","8.622","9.210","9.280","8.620","2.32%","-0.51%","7.17%","亏损","亏损","3.417","1.39","-5.30%","8.800","9.100","-4.45%","-1.19%","2705809.01","14036231.37","6.73","1.40","-0.410","-0.110","1985335734.84","1947057455.97","225862996","221508243","+13.27%","+50.77%","+60.40%","+66.79%","+53.94%","铀","0.24","0.30","0.30","0.31","0.32","-0.27","-","-","-","-","-","-","-","-","-","-","-","16088","358460","96.04%","90.51%","5.53%","70","95%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ARKG","基因进化ETF-ARK","25.450","+0.320","+1.27%","+0.30%","+13.36%","+8.09%","25.440","25.460","400","1400","1124180","28506840.07","0.000%","25.320","25.130","25.570","25.012","2.69%","0.06%","2.22%","-","-","1.050","3.35","-55.56%","25.441","25.210","+1.24%","+0.32%","139620.22","4623871.92","2.39","1.45","+0.311","+0.080","1063810000.00","1063810000.00","41800000","41800000","+4.60%","+1.43%","+7.93%","-4.54%","-3.01%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","303","281938","42.11%","36.18%","5.93%","20","17%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"DDOG","Datadog","144.760","-0.510","-0.35%","+0.12%","+45.34%","+1.31%","144.740","144.860","251","10","879032","126452618.64","0.000%","144.740","145.270","145.900","142.770","0.28%","0.06%","2.16%","308.000","278.384","17.141","1.21","92.34%","144.750","145.200","-0.36%","-0.05%","667267.48","16257916.21","0.59","0.38","-0.520","-0.070","49993333719.56","45257724130.08","345353231","312639708","+2.99%","-0.81%","+11.77%","-4.69%","+19.42%","应用软件","0.40","0.54","0.50","0.42","0.47","-0.38","-","-","-","-","-","-","-","-","-","-","-","5210","345592","48.85%","56.45%","-7.60%","35","67%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"WRD","文远知行","9.250","+0.020","+0.22%","+0.65%","+30.47%","-34.77%","9.250","9.260","2495","592","2838296","26275815.99","0.000%","9.270","9.230","9.610","9.050","1.67%","-0.11%","6.07%","亏损","亏损","2.804","2.19","61.65%","9.280","9.329","+0.54%","+1.07%","793971.23","1764290.84","1.63","2.49","+0.050","+0.099","2631892371.25","1575080398.50","284528905","170278962","+7.68%","+8.06%","+23.50%","-36.38%","-40.32%","应用软件","0.25","0.30","0.29","0.31","0.26","-0.24","-","-","-","-","-","-","-","-","-","-","-","1846","71341","92.79%","52.96%","39.84%","0","0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BLDE","Blade Air Mobility","4.447","-0.143","-3.12%","+0.15%","+65.92%","+4.63%","4.440","4.450","612","100","271335","1211315.70","0.000%","4.590","4.590","4.600","4.360","0.43%","-0.22%","5.23%","亏损","亏损","1.639","1.47","71.91%","4.600","4.600","+0.22%","+0.22%","27085.95","70711.48","1.09","4.12","+0.010","+0.010","360259690.16","281576618.76","81017314","63322603","+7.67%","+4.88%","+20.83%","+14.31%","+20.18%","机场和航空服务","0.37","0.37","0.39","0.48","0.38","-0.31","-","-","-","-","-","-","-","-","-","-","-","573","23687","98.56%","57.94%","40.62%","24","34%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"COUR","Coursera","8.935","+0.005","+0.06%","0.00%","+16.04%","+5.12%","8.930","8.940","100","218","519315","4636769.68","0.000%","8.955","8.930","9.020","8.855","0.37%","0.28%","1.85%","亏损","亏损","2.361","1.64","-37.11%","8.970","8.820","+0.45%","-1.23%","6379.40","520771.73","0.78","1.90","+0.040","-0.110","1442109000.00","1246001904.48","161400000","139451808","+5.99%","+3.77%","+5.99%","-6.54%","+22.90%","教育培训","0.35","0.30","0.32","0.38","0.22","-0.26","-","-","-","-","-","-","-","-","-","-","-","262","22958","61.43%","33.78%","27.64%","26","59%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
